VERB
competing
complain
complained
complaining
complains
complete
completed
completes
completing
concentrate
concentrated
concentrates
concentrating
concern
concerned
concerning
concerns
confess
confessed
confesses
confessing
confuse
confused
confuses
confusing
connect
connected
connecting
connects
consider
considered
considering
considers
consist
consisted
consisting
consists
contain
contained
containing
contains
continue
continued
continues
continuing
correct
corrected
correcting
corrects
cough
coughed
coughing
coughs
count
counted
counting
counts
cover
covered
covering
covers
crack
cracked
cracking
cracks
crash
crashed
crashes
crashing
crawl
crawled
crawling
crawls
cross
crossed
crosses
crossing
crush
crushed
crushing
crushs
cry
cryed
crying
crys
cure
cured
cures
curing
curl
curled
curling
curls
currys
curve
curved
curves
curving
cycle
cycled
cycles
cycling
dam
damage
damaged
damages
damaging
damed
daming
dams
dance
danced
dances
dancing
dare
dared
dares
daring
decay
decayed
decaying
decays
deceive
deceived
deceives
deceiving
decide
decided
decides
deciding
decorate
decorated
decorates
decorating
delay
delayed
delaying
delays
delight
delighted
delighting
delights
deliver
delivered
delivering
delivers
depend
depended
depending
depends
describe
described
describes
describing
desert
deserted
deserting
deserts
deserve
deserved
deserves
deserving
destroy
destroyed
destroying
destroys
detect
detected
detecting
detects
develop
developed
developing
develops
disagree
disagreed
disagreeing
disagrees
disappear
disappeared
disappearing
disappears
disapprove
disapproved
disapproves
disapproving
disarm
disarmed
disarming
disarms
discover
discovered
discovering
discovers
dislike
disliked
dislikes
disliking
divide
divided
divides
dividing
double
doubled
doubles
doubling
doubt
doubted
doubting
doubts
drag
dragged
dragging
drags
drain
drained
draining
drains
dream
dreamed
dreaming
dreams
dress
dressed
dresses
dressing
drip
driped
dripping
drips
drop
dropped
dropping
drops
drown
drowned
drowning
drowns
drum
drumed
drumming
drums
dry
dryed
drying
drys
dust
dusted
dusting
dusts
earn
earned
earning
earns
educate
educated
educates
educating
embarrass
embarrassed
embarrasses
embarrassing
employ
employed
employing
employs
emptied
empties
empty
emptying
encourage
encouraged
encourages
encouraging
end
ended
ending
ends
enjoy
enjoyed
enjoying
enjoys
enter
entered
entering
enters
entertain
entertained
entertaining
entertains
escape
escaped
escapes
escaping
examine
examined
examines
examining
excite
excited
excites
exciting
excuse
excused
excuses
excusing
exercise
exercised
exercises
exercising
exist
existed
existing
exists
expand
expanded
expanding
expands
expect
expected
expecting
expects
explain
explained
explaining
explains
explode
exploded
explodes
exploding
extend
extended
extending
extends
face
faced
faces
facing
fade
faded
fades
fading
fail
failed
failing
fails
fancied
fancy
fancying
fancies
fasten
fastened
fastening
fastens
fax
faxed
faxing
faxs
fear
feared
fearing
fears
fence
fenced
fences
fencing
fetch
fetched
fetching
fetchs
file
filed
files
filing
fill
filled
filling
fills
film
filmed
filming
films
fire
fired
fires
firing
fit
fited
fiting
fits
fix
fixed
fixing
fixs
flap
flaped
flapping
flaps
flash
flashed
flashing
flashs
float
floated
floating
floats
flood
flooded
flooding
floods
flow
flowed
flower
flowered
flowering
flowers
flowing
flows
fold
folded
folding
folds
follow
followed
following
follows
fool
fooled
fooling
fools
force
forced
forces
forcing
form
formed
forming
forms
found
founded
founding
founds
frame
framed
frames
framing
frighten
frightened
frightening
frightens
fry
fryed
frying
frys
gather
gathered
gathering
gathers
gaze
gazed
gazes
gazing
glow
glowed
glowing
glows
glue
glued
glues
gluing
grab
grabbed
grabbing
grabs
granted
grate
grates
grating
grease
greased
greases
greasing
greet
greeted
greeting
greets
grin
grined
grining
grins
grip
griped
gripping
grips
groan
groaned
groaning
groans
guarantee
guaranteed
guaranteeing
guarantees
guard
guarded
guarding
guards
guess
guessed
guesses
guessing
guide
guided
guides
guiding
hammer
hammered
hammering
hammers
hand
handed
handing
handle
handled
handles
handling
hands
hang
hanged
begging
hangs
happen
happened
happening
happens
harass
harassed
harasses
harassing
harm
harmed
harming
harms
hate
hates
hating
hatred
haunt
haunted
haunting
haunts
head
headed
heading
heads
heal
healed
healing
heals
heap
heaped
heaping
heaps
heat
heated
heating
heats
help
helped
helping
helps
hook
hooked
hooking
hooks
hop
hope
hoped
hopes
hoping
hopped
hopping
hops
hover
hovered
hovering
hovers
hug
hugged
hugging
hugs
hum
humed
humming
hums
hunt
hunted
hunting
hunts
hurry
hurryed
hurrying
hurrys
identified
identifies
identify
identifying
ignore
ignored
ignores
ignoring
imagine
imagined
imagines
imagining
impress
impressed
impresses
impressing
improve
improved
improves
improving
include
included
includes
including
increase
increased
increases
increasing
influence
influenced
influences
influencing
inform
informed
informing
informs
inject
injected
injecting
injects
injure
injured
injures
injuring
instruct
instructed
instructing
instructs
intend
intended
intending
intends
interest
interested
interesting
interests
interfere
interfered
interferes
interfering
interrupt
interrupted
interrupting
interrupts
introduce
introduced
introduces
introducing
invent
invented
inventing
invents
invite
invited
invites
inviting
irritate
irritated
irritates
irritating
itch
itched
itching
itchs
jail
jailed
jailing
jails
jam
jamed
jamming
jams
jog
jogged
joging
jogs
join
joined
joining
joins
joke
joked
jokes
joking
judge
judged
judges
jogging
juggle
juggled
juggles
juggling
jump
jumped
jumping
jumps
kick
kicked
kicking
kicks
kill
killed
killing
kills
kiss
kissed
kisses
kissing
kneel
kneeled
kneeling
kneels
knicks
knit
knits
knitted
knitting
knock
knocked
knocking
knot
knots
knotted
knotting
label
labeled
labeling
labels
land
landed
landing
lands
last
lasted
lasting
lasts
laugh
laughed
laughing
laughs
launch
launched
launches
launching
learn
learned
learning
learns
level
leveled
leveling
levels
license
licensed
licenses
licensing
lick
licked
licking
licks
lie
lied
lies
lighten
lightened
lightening
lightens
like
liked
likes
liking
list
listed
listen
listened
listening
listens
listing
lists
live
lived
lives
living
load
loaded
loading
loads
lock
locked
locking
locks
long
longed
longing
longs
look
looked
looking
looks
love
loved
loves
loving
lowes
lying
man
manage
managed
management
manages
maned
maning
mans
march
marched
marching
marchs
mark
marked
marking
marks
married
marry
marrying
marries
match
matched
matching
matchs
mate
mated
mates
mating
matter
mattered
mattering
matters
measure
measured
measures
measuring
meddle
meddled
meddles
meddling
melt
melted
melting
melts
memorise
memorised
memoriseing
memorises
mend
mended
mending
mends
mess up
mess uping
mess ups
messes up
milk
milked
milking
milks
mine
mined
mines
mining
miss
missed
missing
misss
mix
mixed
mixing
mixs
moan
moaned
moaning
moans
moor
moored
mooring
moors
mourn
mourned
mourning
mourns
move
moved
moves
moving
muddle
muddled
muddles
muddling
mug
mugged
mugging
mugs
multiplied
multiply
multiplying
multiplies
murder
murdered
murdering
murders
nail
nailed
nailing
nails
name
named
names
naming
need
needed
needing
needs
nest
nested
nesting
nests
nod
nodding
noded
nods
note
noted
notes
notice
noticed
notices
noticing
noting
number
numbered
numbering
numbers
obey
obeyed
obeying
obeys
object
objected
objecting
objects
observe
observed
observes
observing
obtain
obtained
obtaining
obtains
occur
occurred
occurring
occurs
offend
offended
offending
offends
offer
offered
offering
offers
open
opened
opening
opens
order
ordered
ordering
orders
overflow
overflowed
overflowing
overflows
owe
owed
owing
own
owned
owning
owns
pack
packed
packing
packs
paddle
paddled
paddles
paddling
paint
painted
painting
paints
park
parked
parking
parks
part
parted
parting
parts
pass
passed
passing
passs
paste
pasted
pastes
pasting
pat
pated
pating
pats
pause
paused
pauses
pausing
peck
pecked
pecking
pecks
pedal
pedaled
pedaling
pedals
peel
peeled
peeling
peels
peep
peeped
peeping
peeps
permit
permits
permitted
permitting
phone
phoned
phones
phoning
pick
picked
picking
picks
pinch
pinched
pinches
pinching
pine
pined
pines
pining
place
placed
places
placing
plan
planed
planing
plans
plant
planted
planting
plants
play
played
playing
plays
please
pleased
pleases
pleasing
plug
plugged
plugins
plugs
point
pointed
pointing
points
poke
poked
pokes
poking
polish
polished
polishes
polishing
possess
possessed
possesses
possessing
post
posted
posting
posts
pour
poured
pouring
pours
practice
practiced
practices
practicing
practise
practised
practises
practising
pray
prayed
praying
prays
preach
preached
preaching
preachs
precede
preceded
precedes
preceding
prefer
prefered
preferring
prefers
prepare
prepared
prepares
preparing
present
presented
presenting
presents
preserve
preserved
preserves
preserving
press
pressed
pressing
presss
prevent
prevented
preventing
prevents
prick
pricked
pricking
pricks
print
printed
printing
prints
produce
produced
produces
producing
program
programed
programing
programs
promise
promised
promises
promising
protect
protected
protecting
protects
provide
provided
provides
providing
pull
pulled
pulling
pulls
pump
pumped
pumping
pumps
punch
punched
punches
punching
puncture
punctured
punctures
puncturing
punish
punished
punishes
punishing
question
questioned
questioning
questions
queue
queued
queueing
queues
race
raced
races
racing
radiate
radiated
radiates
radiating
rain
rained
raining
rains
raise
raised
raises
raising
reach
reached
reaches
reaching
realise
realised
realises
realising
receive
received
receives
receiving
recognise
recognised
recognises
recognising
record
recorded
recording
records
reduce
reduced
reduces
reducing
reflect
reflected
reflecting
reflects
refuse
refused
refuses
refusing
regret
regrets
regretted
regretting
reign
reigned
reigning
reigns
reject
rejected
rejecting
rejects
rejoice
rejoiced
rejoices
rejoicing
relax
relaxed
relaxing
relaxs
release
released
releases
releasing
relied
relies
rely
relying
remain
remained
remaining
remains
remember
remembered
remembering
remembers
remind
reminded
reminding
reminds
remove
removed
removes
removing
repair
repaired
repairing
repairs
repeat
repeated
repeating
repeats
replace
replaced
replaces
replacing
replied
replies
reply
replying
report
reported
reporting
reports
reproduce
reproduced
reproduces
reproducing
request
requested
requesting
requests
rescue
rescued
rescues
rescuing
retire
retired
retires
retiring
return
returned
returning
returns
rhyme
rhymed
rhymes
rhyming
rinse
rinsed
rinses
rinsing
risk
risked
risking
risks
rob
robed
robing
robs
rock
rocked
rocking
rocks
roll
rolled
rolling
rolls
rot
roted
roting
rots
rub
rubbing
rubed
rubs
ruin
ruined
ruining
ruins
rule
ruled
rules
ruling
rush
rushed
rushing
rushs
sack
sacked
sacking
sacks
sail
sailed
sailing
sails
satisfied
satisfies
satisfy
satisfying
save
saved
saves
saving
saw
sawed
sawing
saws
scare
scared
scares
scaring
scatter
scattered
scattering
scatters
scold
scolded
scolding
scolds
scorch
scorched
scorching
scorchs
scrape
scraped
scrapes
scraping
scratch
scratched
scratches
scratching
scream
screamed
screaming
screams
screw
screwed
screwing
screws
scrub
scrubbed
scrubbing
scrubs
seal
sealed
sealing
seals
search
searched
searches
searching
separate
separated
separates
separating
serve
served
serves
serving
settle
settled
settles
settling
shade
shaded
shades
shading
share
shared
shares
sharing
shave
shaved
shaves
shaving
shelter
sheltered
sheltering
shelters
shiver
shivered
shivering
shivers
shock
shocked
shocking
shocks
shop
shoped
shopping
shops
shrug
shrugged
shrugging
shrugs
sigh
sighed
sighing
sighs
sign
signal
signaled
signaling
signals
signed
signing
signs
sin
sined
sining
sins
sip
sipped
sipping
sips
ski
skied
skiing
skip
skipped
skipping
skips
skis
slap
slapped
slapping
slaps
slip
sliped
slipping
slips
smash
smashed
smashing
smashs
smell
smelled
smelling
smells
smile
smiled
smiles
smiling
smoke
smoked
smokes
smoking
snatch
snatched
snatching
snatchs
sneeze
sneezed
sneezes
sneezing
sniff
sniffed
sniffing
sniffs
snore
snored
snores
snoring
snow
snowed
snowing
snows
soak
soaked
soaking
soaks
soothe
soothed
soothes
soothing
sound
sounded
sounding
sounds
spare
spared
spares
sparing
spark
sparked
sparking
sparkle
sparkled
sparkles
sparkling
sparks
spell
spelled
spelling
spells
spill
spilled
spilling
spills
spoil
spoiled
spoiling
spoils
spot
spoting
spots
spotted
spray
sprayed
spraying
sprays
sprout
sprouted
sprouting
sprouts
squash
squashed
squashing
squashs
squeak
squeaked
squeaking
squeaks
squeeze
squeezed
squeezes
squeezing
stain
stained
staining
stains
stamp
stamped
stamping
stamps
stare
stared
stares
staring
start
started
starting
starts
stay
stayed
staying
stays
steer
steered
steering
steers
step
stepped
stepping
steps
stir
stirred
stirring
stirs
stitch
stitched
stitches
stitching
stop
stopped
stopping
stops
store
stored
stores
storing
strap
strapped
strapping
straps
strengthen
strengthened
strengthening
strengthens
stretch
stretched
stretches
stretching
strip
striped
stripping
strips
stroke
stroked
strokes
stroking
stuff
stuffed
stuffing
stuffs
subtract
subtracted
subtracting
subtracts
succeed
succeeded
succeeding
succeeds
suck
sucked
sucking
sucks
suffer
suffered
suffering
suffers
suggest
suggested
suggesting
suggests
supplied
supplies
supply
supplying
support
supported
supporting
supports
suppose
supposed
supposes
supposing
surprise
surprised
surprises
surprising
surround
surrounded
surrounding
surrounds
suspect
suspected
suspecting
suspects
suspend
suspended
suspending
suspends
switch
switched
switches
switching
talk
talked
talking
talks
tame
tamed
tames
taming
tap
taped
taping
taps
taste
tasted
tastes
tasting
tease
teased
teases
teasing
telephone
telephoned
telephones
telephoning
tempt
tempted
tempting
tempts
terrified
terrifies
terrify
terrifying
test
tested
testing
tests
thank
thanked
thanking
thanks
thaw
thawed
thawing
thaws
tick
ticked
ticking
tickle
tickled
tickles
tickling
ticks
tie
ties
time
timed
times
timing
tip
tipped
tipping
tips
tire
tired
tires
tiring
touch
touched
touches
touching
tour
toured
touring
tours
tow
towed
towing
tows
trace
traced
traces
tracing
trade
traded
trades
trading
train
trained
training
trains
transport
transported
transporting
transports
trap
trapped
trapping
traps
travel
traveled
traveling
travels
treat
treated
treating
treats
tremble
trembled
trembles
trembling
trick
tricked
tricking
tricks
trip
triped
tripping
trips
trot
troted
trots
trotting
trouble
troubled
troubles
troubling
trust
trusted
trusting
trusts
try
tried
trying
tries
tug
tuged
tugging
tugs
tumble
tumbled
tumbles
tumbling
turn
turned
turning
turns
twist
twisted
twisting
twists
tying
type
typed
types
typing
undress
undressed
undresses
undressing
unfasten
unfastened
unfastening
unfastens
unite
united
unites
uniting
unlock
unlocked
unlocking
unlocks
unpack
unpacked
unpacking
unpacks
untidied
untidy
untidying
use
used
uses
using
vanish
vanished
vanishes
vanishing
visit
visited
visiting
visits
wail
wailed
wailing
wails
wait
waited
waiting
waits
walk
walked
walking
walks
wander
wandered
wandering
wanders
want
wanted
wanting
wants
warm
warmed
warming
warms
warn
warned
warning
warns
wash
washed
washing
washs
waste
wasted
wastes
wasting
watch
watched
watching
watchs
water
watered
watering
waters
wave
waved
waves
waving
weigh
weighed
weighing
weighs
welcome
welcomed
welcomes
welcoming
whine
whined
whines
whining
whip
whipped
whipping
whips
whirl
whirled
whirling
whirls
whisper
whispered
whispering
whispers
whistle
whistles
whistling
wink
winked
winking
winks
wipe
wiped
wipes
wiping
wish
wished
wishing
wishs
wobble
wobbled
wobbles
wobbling
wonder
wondered
wondering
wonders
work
worked
working
works
worried
worries
worry
worrying
wrap
wrapped
wrapping
wraps
wreck
wrecked
wrecking
wrecks
wrestle
wrestled
wrestles
wrestling
wriggle
wriggled
wriggles
wriggling
x-ray
x-rayed
x-raying
x-rays
yawn
yawned
yawning
yawns
yell
yelled
yelling
yells
zip
zipped
zipping
zips
zoom
zoomed
zooming
zooms
